Location, info_1, info_2
Bétonsalon
Centre Georges-Pompidou
Château de Chantilly et Musée Condé
Château de Vincennes
Cinémathèque française
Cité de l'Architecture et du Patrimoine
Cité des Sciences et de l'Industrie
Citéco — La Cité de l'Économie
FRAC Île-de-France — Le Plateau
Fondation Louis Vuitton
Fondation Pernod Ricard
Grand Palais Éphémère
Grande Halle de la Villette
Grandes Serres
Institut Giacometti
Institut du Monde Arabe
Jeu de Paume Paris
La Galerie d'Architecture
"Le 22,48 m2"
Le Centquatre (104)
Le Crédac
Le Lavoir Numérique
MAC VAL
MAD Musée des Arts Décoratifs
Magasins généraux
Maison d'Auguste Comte
Maison de Victor Hugo
Miarie - Salle Saint-Jean
Musée Cernuschi
Musée Clemenceau
Musée Jacquemart-André
Musée Maillol
Musée Marmottan Monet
Musée Maurice-Denis (st germain)
Musée Picasso
Musée Rodin
Musée Yves Saint Laurent Paris
Musée d'Archéologie nationale (st germain)
Musée d'Art et d'Histoire Paul Eluard
Musée d'Art et d'Histoire de l'Hôpital Sainte-Anne
Musée d'Art et d'Histoire du Judaïsme
Musée d'Art moderne
Musée d'Orsay
Musée de La Poste
Musée de Montmartre
Musée de l'Armée
Musée de l'Homme
Musée de l'Hôtel-Dieu (mantes)
Musée de l'Orangerie
Musée de la Légion d'honneur et des ordres de chevalerie
Musée de la Monnaie de Paris
Musée de la Musique
Musée de la Préfecture de Police
Musée des Arts et Métiers
Musée du Jouet de Poissy
Musée du Louvre
Musée du Luxembourg
Musée du Petit Palais
Musée du Quai Branly - Jacques Chirac
Musée en Herbe
Mémorial de la Shoah
Palais Galliera
Palais de Tokyo
Palais des Beaux-Arts
Paris Expo
Pavillon de l'Arsenal
Réfectoire des Cordeliers
Sèvres - Cité de la Céramique
Tour Jean sans Peur
Écomusée du Grand-Orly Seine Bièvre
